Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2011-12,SI 502,502,,,,,2012-01-30,0,0,SI 502,"First reading, referred to Government Operations, Tribal Relations & Elections.",0,S GovtOp & Elect,0,0,2012-01-30,,0,Marijuana decriminalization,Senate,5592,I-2465.1,0,0,0,0,Marijuana decriminalization,Initiative,I,(People of the State of Washington),0,0
1,0,2011-12,HB 1000,1000,,,,,2011-05-16,1,1,HB 1000,Effective date 7/22/2011.,1,C 348 L 11,0,0,2011-01-10,AN ACT Relating to overseas and service voters;,0,Concerning overseas and service voters.,House,3486,H-0208.1,0,0,0,0,Overseas and service voters,Bill,B,(Hurst),0,0
0,0,2011-12,HB 1001,1001,,,,,2011-02-22,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to pro se defendants in criminal cases questioning victims of sex offenses;,0,Placing restrictions on pro se defendants when questioning witnesses.,House,11999,H-0197.3,0,0,0,0,Pro se defendant/sex offense,Bill,B,(Goodman),1,0
1,0,2011-12,SHB 1001,1001,,,,,2012-04-11,0,0,SHB 1001,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-20,AN ACT Relating to pro se defendants in criminal cases questioning victims of sex offenses;,0,Placing restrictions on pro se defendants when questioning witnesses.,House,11999,H-0634.4,0,0,0,0,Pro se defendant/sex offense,Bill,B,(Goodman),0,1
1,0,2011-12,HB 1002,1002,,,,,2012-04-11,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to voting by mail;,1,Adopting voting by mail.,House,5155,H-0191.2,0,0,0,0,Voting by mail,Bill,B,(Hunt),1,0
0,0,2011-12,HB 1003,1003,,,,,2011-02-26,0,0,HB 1003,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to efficiency standards for consumer products;,0,Establishing energy efficiency standards for consumer products.,House,2144,H-0274.1,0,0,0,0,Energy efficiency standards,Bill,B,(Morris),1,0
1,0,2011-12,SHB 1003,1003,,,,,2012-04-11,0,0,SHB 1003,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2011-02-02,AN ACT Relating to efficiency standards for consumer products;,0,Establishing energy efficiency standards for consumer products.,House,2144,H-1322.3,0,0,0,0,Energy efficiency standards,Bill,B,(Morris),0,1
1,0,2011-12,HB 1004,1004,,,,,2012-04-11,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Ways & Means,0,0,2011-01-10,AN ACT Relating to social emotional learning in public schools;,0,Providing for social emotional learning in public schools.,House,1570,H-0114.1,0,0,0,0,Social emotional learning,Bill,B,(Dickerson),1,0
1,0,2011-12,HB 1005,1005,,,,,2012-04-11,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2011-01-10,AN ACT Relating to creating a Washington state ferries commission;,0,Creating a Washington state ferries commission.,House,10031,H-0377.1,0,0,0,0,State ferries commission,Bill,B,(Appleton),1,0
1,0,2011-12,HB 1006,1006,,,,,2012-04-11,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to knives;,0,Concerning knives.,House,10031,H-0332.1,0,0,0,0,Knives,Bill,B,(Appleton),0,0
1,0,2011-12,HB 1007,1007,,,,,2012-04-11,0,0,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Pub Safety,0,0,2011-01-10,AN ACT Relating to prospectively and retroactively increasing earned release time for certain offenders;,1,Increasing earned release time for certain offenders prospectively and retroactively.,House,10031,H-0364.1,0,0,0,0,Earned release time increase,Bill,B,(Appleton),1,0
0,0,2011-12,HB 1008,1008,,,,,2011-03-01,0,0,HB 1008,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to membership on the Washington citizens' commission on salaries for elected officials;,0,"Changing the definition of ""immediate family"" for purpose of membership on the Washington citizens' commission on salaries for elected officials.",House,10031,H-0279.1,0,0,0,0,Elected officials' salaries,Bill,B,(Appleton),0,0
1,0,2011-12,SHB 1008,1008,,,,,2011-05-05,1,1,SHB 1008,Effective date 7/22/2011.,0,C 254 L 11,0,0,2011-01-19,AN ACT Relating to membership on the Washington citizens' commission on salaries for elected officials;,0,Changing provisions relating to membership on the Washington citizens' commission on salaries for elected officials.,House,10031,H-0902.1,0,0,0,0,Elected officials' salaries,Bill,B,(Appleton),0,1
0,0,2011-12,HB 1009,1009,,,,,2011-03-03,0,0,HB 1009,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to the authority of state agencies to enter into agreements with the federal government under the endangered species act;,0,Concerning the authority of certain state agencies to enter into agreements with the federal government under the endangered species act.,House,3469,H-0199.1,0,0,0,0,Endangered species agreemnts,Bill,B,(Chandler),1,0
1,0,2011-12,ESHB 1009,1009,,,,,2012-04-11,0,1,ESHB 1009,"By resolution, reintroduced and retained in present status.",0,H Ag & Nat Res,0,1,2011-02-16,AN ACT Relating to the authority of state agencies to enter into agreements with the federal government under the endangered species act;,0,Concerning the authority of certain state agencies to enter into agreements with the federal government under the endangered species act.,House,3469,H-1653.1,0,0,0,0,Endangered species agreemnts,Bill,B,(Chandler),1,1
1,0,2011-12,HB 1010,1010,,,,,2012-04-11,0,0,HB 1010,"By resolution, reintroduced and retained in present status.",0,H Pub Safety,0,0,2011-01-10,AN ACT Relating to alternatives to total confinement;,1,Modifying alternatives to total confinement.,House,10031,H-0386.1,0,0,0,0,Total confinement,Bill,B,(Appleton),0,0
1,0,2011-12,HB 1011,1011,,,,,2012-04-11,0,0,HB 1011,"By resolution, reintroduced and retained in present status.",0,H Pub Safety,0,0,2011-01-10,AN ACT Relating to earned release time for certain jail inmates;,0,Concerning earned release time for certain jail inmates.,House,10031,H-0381.1,0,0,0,0,Earned release time/jails,Bill,B,(Appleton),0,0
1,0,2011-12,HB 1012,1012,,,,,2011-04-14,0,0,HB 1012,Effective date 7/22/2011.,0,C 59 L 11,0,0,2011-01-10,AN ACT Relating to planning commissioner terms of office;,0,Authorizing four-year terms for planning commissioners.,House,14208,H-0133.1,0,0,0,0,Planning commissioners,Bill,B,(Angel),0,0
1,0,2011-12,HB 1013,1013,,,,,2012-04-11,0,0,HB 1013,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,2011-01-10,AN ACT Relating to notifying property owners of proposals to modify zoning requirements;,1,"Requiring notice to property owners when a county, city, or town modifies its zoning requirements.",House,14208,H-0163.2,0,0,0,0,Rezoning proposal notices,Bill,B,(Angel),0,0
1,0,2011-12,HB 1014,1014,,2011-12,SB 5241,C 97 L 11,2012-04-11,0,0,HB 1014,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to the authority of a watershed management partnership;,0,Modifying the authority of a watershed management partnership.,House,11999,H-0349.1,0,0,0,0,Watershed mgmt partnerships,Bill,B,(Goodman),0,0
1,0,2011-12,HB 1015,1015,,2011-12,ESB 5005,C 299 L 11,2012-04-11,0,0,HB 1015,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2011-01-10,AN ACT Relating to exemption from immunization;,0,Concerning exemption from immunization.,House,8238,H-0167.1,0,0,0,0,Immunization exemption,Bill,B,(Bailey),1,0
1,0,2011-12,HB 1016,1016,,2011-12,SB 5112,SRules X,2011-04-11,0,0,HB 1016,Effective date 7/22/2011.,0,C 13 L 11,0,0,2011-01-10,AN ACT Relating to firearm noise suppressors;,0,Changing restrictions on firearm noise suppressors.,House,8317,H-0410.1,0,0,0,0,Firearm noise suppressors,Bill,B,(Blake),0,0
1,0,2011-12,HB 1017,1017,,2011-12,SB 5000,Ssubst for,2012-04-11,0,0,HB 1017,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence of alcohol or drugs or being in physical control of a vehicle while under the influence of alcohol or drugs;,1,Mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence.,House,11999,H-0146.1,0,0,0,0,DUI twelve-hour impound hold,Bill,B,(Goodman),1,0
1,0,2011-12,SHB 1017,1017,,,,,2012-04-11,0,0,SHB 1017,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-20,AN ACT Relating to mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence of alcohol or drugs or being in physical control of a vehicle while under the influence of alcohol or drugs;,0,Mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence.,House,11999,H-1067.1,0,0,0,0,DUI twelve-hour impound hold,Bill,B,(Goodman),0,1
1,0,2011-12,2SHB 1017,1017,,,,,2012-04-11,0,1,2SHB 1017,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-02-22,AN ACT Relating to mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence of alcohol or drugs or being in physical control of a vehicle while under the influence of alcohol or drugs;,0,Mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence.,House,11999,H-1610.1,0,0,0,0,DUI twelve-hour impound hold,Bill,B,(Goodman),0,2
1,0,2011-12,HB 1018,1018,,2011-12,SB 5193,STransportation,2012-04-11,0,0,HB 1018,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2011-01-10,AN ACT Relating to bicyclist and motorist mutual responsibilities;,0,Concerning bicyclist and motorist mutual responsibilities.,House,12002,H-0093.4,0,0,0,0,Bicyclists and motorists,Bill,B,(Pedersen),0,0
0,0,2011-12,HB 1019,1019,,,,,2011-02-14,0,0,HB 1019,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to constraining the department of corrections' authority to transfer offenders out of state;,0,Constraining the department of corrections' authority to transfer offenders out of state.,House,10058,H-0388.1,0,0,0,0,Corrections dept. authority,Bill,B,(Roberts),1,0
1,0,2011-12,SHB 1019,1019,,,,,2012-04-11,0,0,SHB 1019,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2011-02-04,AN ACT Relating to constraining the department of corrections' authority to transfer offenders out of state;,0,Constraining the department of corrections' authority to transfer offenders out of state.,House,10058,H-1278.1,0,0,0,0,Corrections dept. authority,Bill,B,(Roberts),0,1
1,0,2011-12,HB 1020,1020,,,,,2012-04-11,0,0,HB 1020,"By resolution, reintroduced and retained in present status.",0,H Pub Safety,0,0,2011-01-10,AN ACT Relating to continuing availability of fifty percent earned release for certain nonviolent offenders;,1,Continuing availability of fifty percent earned release for certain nonviolent offenders.,House,1570,H-0253.2,0,0,0,0,Earned release/fifty percent,Bill,B,(Dickerson),1,0
1,0,2011-12,HB 1021,1021,,,,,2012-04-11,0,0,HB 1021,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to persons appointed by the court to provide information in family law and adoption cases;,0,Concerning persons appointed by the court to provide information in family law and adoption cases.,House,11999,H-0072.1,0,0,0,0,Family law & adoption cases,Bill,B,(Goodman),0,0
1,0,2011-12,HB 1022,1022,,,,,2012-04-11,0,0,HB 1022,"By resolution, reintroduced and retained in present status.",0,H Ways & Means,0,0,2011-01-10,AN ACT Relating to the postretirement employment of higher education employees;,0,Regulating the postretirement employment of higher education employees.,House,14325,H-0266.1,0,0,0,0,Higher education employees,Bill,B,(Carlyle),1,0
1,0,2011-12,HB 1023,1023,,,,,2012-04-11,0,0,HB 1023,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to presumed death certificates;,1,Modifying presumed death certificate provisions.,House,11999,H-0419.1,0,0,0,0,Presumed death certificates,Bill,B,(Goodman),1,0
0,0,2011-12,HB 1024,1024,,2011-12,SB 5003,SRules X,2011-02-07,0,0,HB 1024,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to an addition to the scenic and recreational highway system;,0,Adding to the scenic and recreational highway system.,House,15098,H-0402.1,0,0,0,0,Scenic & rec. highway system,Bill,B,(Fagan),0,0
1,0,2011-12,SHB 1024,1024,,,,,2011-04-20,0,0,SHB 1024,Effective date 7/22/2011.,0,C 123 L 11,0,0,2011-01-19,AN ACT Relating to an addition to the scenic and recreational highway system;,0,Adding to the scenic and recreational highway system.,House,15098,H-0627.1,0,0,0,0,Scenic & rec. highway system,Bill,B,(Fagan),1,1
1,0,2011-12,HB 1025,1025,,,,,2012-04-11,0,0,HB 1025,"By resolution, reintroduced and retained in present status.",0,H Education,0,0,2011-01-10,AN ACT Relating to providing flexibility for school districts;,1,Providing flexibility for school districts.,House,1573,H-0270.1,0,0,0,0,School district flexibility,Bill,B,(Crouse),1,0
0,0,2011-12,HB 1026,1026,,,,,2011-02-23,0,0,HB 1026,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to adverse possession;,0,Specifying procedures for adverse possession actions.,House,11998,H-0144.2,0,0,0,0,Adverse possession actions,Bill,B,(Rolfes),0,0
1,0,2011-12,ESHB 1026,1026,,,,,2011-05-05,1,1,ESHB 1026,Effective date 7/22/2011.,0,C 255 L 11,0,1,2011-01-20,AN ACT Relating to adverse possession;,0,Changing provisions relating to adverse possession claims.,House,11998,H-1079.1,0,0,0,0,Adverse possession claims,Bill,B,(Rolfes),0,1
1,0,2011-12,HB 1027,1027,,,,,2012-04-11,0,0,HB 1027,"By resolution, reintroduced and retained in present status.",0,H Erly Lrn/H Svc,0,0,2011-01-10,AN ACT Relating to public assistance application forms;,0,Regarding public assistance application forms.,House,13209,H-0372.1,0,0,0,0,Public assistance forms,Bill,B,(Schmick),1,0
1,0,2011-12,EHB 1028,1028,,2011-12,SB 5133,SRules X,2011-04-11,0,1,EHB 1028,Effective date 7/22/2011.,0,C 14 L 11,0,1,2011-01-10,AN ACT Relating to using state correctional facility populations to determine population thresholds for certain local government purposes;,0,Using state correctional facility populations to determine population thresholds for certain local government purposes.,House,13209,H-0203.2,0,0,0,0,Correctional populations,Bill,B,(Schmick),0,0
1,0,2011-12,HB 1029,1029,,,,,2012-04-11,0,0,HB 1029,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to the department of social and health services;,0,Restructuring the department of social and health services.,House,5161,H-0188.1,0,0,0,0,DSHS restructuring,Bill,B,(Armstrong),1,0
1,0,2011-12,HB 1030,1030,,,,,2012-04-11,0,0,HB 1030,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to requiring felons to pay court-ordered financial obligations before restoration of voting rights;,0,Requiring felons to pay court-ordered financial obligations before restoration of voting rights.,House,5161,H-0113.2,0,0,0,0,Felons' voting rights,Bill,B,(Armstrong),0,0
1,0,2011-12,HB 1031,1031,,,,,2011-04-29,0,0,HB 1031,Effective date 7/22/2011.,0,C 182 L 11,0,0,2011-01-10,AN ACT Relating to ballot envelopes;,1,Requiring the county auditor to send voters a security envelope that conceals the ballot.,House,5161,H-0194.1,0,0,0,0,Ballot envelopes,Bill,B,(Armstrong),1,0
1,0,2011-12,HB 1032,1032,,2011-12,SB 5079,SRules X,2012-04-11,0,0,HB 1032,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to the consumer protection act;,0,Modifying consumer protection act provisions.,House,11999,Z-0322.1,0,1,0,0,Consumer protection act,Bill,B,(Goodman),1,0
1,0,2011-12,HB 1033,1033,,2011-12,SB 5022,Ssubst for,2012-04-11,0,0,HB 1033,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to clarifying the statute of limitations for any court action brought under RCW 42.56.550;,0,Clarifying the statute of limitations for any court action brought under RCW 42.56.550.,House,11997,Z-0221.1,0,1,0,0,Court actions/RCW 42.56.550,Bill,B,(Eddy),1,0
1,0,2011-12,HB 1034,1034,,2011-12,SB 5025,Ssubst for,2012-04-11,0,0,HB 1034,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to making requests by or on behalf of an inmate under the public records act ineligible for penalties;,0,Concerning making requests by or on behalf of an inmate under the public records act ineligible for penalties.,House,10249,Z-0324.1,0,1,0,0,Inmate public record request,Bill,B,(Takko),1,0
1,0,2011-12,HB 1035,1035,,2011-12,SB 5077,Ssubst for,2012-04-11,0,0,HB 1035,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to prohibiting the use of eminent domain for economic development;,0,Prohibiting the use of eminent domain for economic development.,House,10039,Z-0325.1,0,1,0,0,Eminent domain/economic dev.,Bill,B,(Springer),1,0
1,0,2011-12,HB 1036,1036,,2011-12,SB 5078,SRules X,2012-04-11,0,0,HB 1036,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,"AN ACT Relating to conditions of threat to public health, safety, or welfare on real property;",1,"Concerning a municipality's right to condemn real property due to a threat to public health, safety, or welfare.",House,11999,Z-0161.1,0,1,0,0,Condemning real property,Bill,B,(Goodman),1,0
0,0,2011-12,HB 1037,1037,,,,,2011-03-03,0,0,HB 1037,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to restrictions on legal claims initiated by persons serving criminal sentences in correctional facilities;,1,Placing restrictions on legal claims initiated by persons serving criminal sentences in correctional facilities.,House,12082,Z-0273.1,0,1,0,0,Correctional inmate claims,Bill,B,(Ross),1,0
1,0,2011-12,SHB 1037,1037,,,,,2011-05-03,0,1,SHB 1037,Effective date 7/22/2011.,0,C 220 L 11,0,0,2011-01-27,AN ACT Relating to restrictions on legal claims initiated by persons serving criminal sentences in correctional facilities;,1,Placing restrictions on legal claims initiated by persons serving criminal sentences in correctional facilities.,House,12082,H-1217.2,0,1,0,0,Correctional inmate claims,Bill,B,(Ross),1,1
1,0,2011-12,HB 1038,1038,,,,,2012-04-11,0,0,HB 1038,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to the disclosure of telephone campaign advertising in state and local election campaigns;,0,Requiring sponsor identification on certain telephone campaign advertising.,House,10031,Z-0321.1,0,0,0,1,Telephone campaign ads,Bill,B,(Appleton),1,0
1,0,2011-12,HB 1039,1039,,2011-12,SB 5076,C 93 L 11,2012-04-11,0,0,HB 1039,"By resolution, reintroduced and retained in present status.",0,H Bus & Fin Svcs,0,0,2011-01-10,AN ACT Relating to the subpoena authority of the department of financial institutions;,0,Addressing the subpoena authority of the department of financial institutions.,House,8238,Z-0071.1,0,0,0,1,Financial institutions dept,Bill,B,(Bailey),1,0
1,0,2011-12,HB 1040,1040,,2011-12,SB 5082,SJudiciary,2011-04-29,1,1,HB 1040,Effective date 7/22/2011.,0,C 183 L 11,0,0,2011-01-10,AN ACT Relating to the use of electronic signatures and notices;,0,Regarding the use of electronic signatures and notices.,House,12002,Z-0029.5,0,1,0,0,Electronic notices,Bill,B,(Pedersen),1,0
0,0,2011-12,HB 1041,1041,,2011-12,SB 5031,SJudiciary,2011-03-01,0,0,HB 1041,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to including correctional employees who have completed government-sponsored law enforcement firearms training to the lists of law enforcement personnel that are exempt from certain firearm restrictions;,0,Including correctional employees who have completed government-sponsored law enforcement firearms training to the lists of law enforcement personnel that are exempt from certain firearm restrictions.,House,10021,H-0124.1,0,0,0,0,Correctional employees,Bill,B,(Green),0,0
1,0,2011-12,ESHB 1041,1041,,,,,2011-05-03,1,1,ESHB 1041,Effective date 7/22/2011.,0,C 221 L 11,0,1,2011-01-27,AN ACT Relating to including correctional employees who have completed government-sponsored law enforcement firearms training to the lists of law enforcement personnel that are exempt from certain firearm restrictions;,0,Including correctional employees who have completed government-sponsored law enforcement firearms training to the lists of law enforcement personnel that are exempt from certain firearm restrictions. (REVISED FOR PASSED LEGISLATURE: Including certain correctional employees and community corrections officers who have completed government-sponsored law enforcement firearms training to the lists of law enforcement personnel that are exempt from certain firearm restrictions. ),House,10021,H-1261.1,0,0,0,0,Correctional employees,Bill,B,(Green),0,1
0,0,2011-12,HB 1042,1042,,2011-12,SB 5017,SRules X,2011-03-05,0,0,HB 1042,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,"AN ACT Relating to providing a property tax exemption for property held under lease, sublease, or lease-purchase by a nonprofit organization that provides job training, placement, or preemployment services;",1,"Providing a property tax exemption for property held under lease, sublease, or lease-purchase by a nonprofit organization that provides job training, placement, or preemployment services.",House,12068,H-0192.1,0,0,0,0,Nonprofit org prop tax exemp,Bill,B,(Seaquist),1,0
1,0,2011-12,SHB 1042,1042,,,,,2012-04-11,0,1,SHB 1042,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2011-02-24,"AN ACT Relating to providing a property tax exemption for property held under lease, sublease, or lease-purchase by a nonprofit organization that provides job training, placement, or preemployment services;",1,"Providing a property tax exemption for property held under lease, sublease, or lease-purchase by a nonprofit organization that provides job training, placement, or preemployment services.",House,12068,H-1982.1,0,0,0,0,Nonprofit org prop tax exemp,Bill,B,WAYS(Seaquist),1,1
1,0,2011-12,HB 1043,1043,,2011-12,SB 5020,Ssubst for,2012-04-11,0,0,HB 1043,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2011-01-10,AN ACT Relating to protecting consumers by assuring persons using the title of social worker have graduated with a degree in social work from an educational program accredited by the council on social work education;,0,Protecting consumers by assuring persons using the title of social worker have graduated with a degree in social work from an educational program accredited by the council on social work education.,House,14205,H-0166.1,0,0,0,0,Social workers,Bill,B,(Orwall),0,0
1,0,2011-12,HB 1044,1044,,2011-12,SB 5237,SGovtOp & Elect,2012-04-11,0,0,HB 1044,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to creating the office of open records;,0,Establishing the office of open records.,House,3486,Z-0053.4,0,1,0,0,Office of open records,Bill,B,(Hurst),1,0
1,0,2011-12,HB 1045,1045,,2011-12,SB 5311,SRules X,2012-04-11,0,0,HB 1045,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to clarifying agency relationships in reconveyances of deeds of trust;,0,Clarifying agency relationships in reconveyances of deeds of trust.,House,5155,H-0272.1,0,0,0,0,Deeds of trust reconveyances,Bill,B,(Hunt),0,0
0,0,2011-12,HB 1046,1046,,2011-12,SB 5038,SRules X,2011-03-05,0,0,HB 1046,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to vehicle and vessel quick title;,1,Concerning vehicle and vessel quick title.,House,8212,H-0359.1,0,0,0,0,Vehicle & vessel quick title,Bill,B,(Moeller),1,0
1,0,2011-12,SHB 1046,1046,,,,,2011-05-12,1,1,SHB 1046,Effective date 1/1/2012.,0,C 326 L 11,0,0,2011-01-31,AN ACT Relating to vehicle and vessel quick title;,1,Concerning vehicle and vessel quick title.,House,8212,H-1221.3,0,0,0,0,Vehicle & vessel quick title,Bill,B,(Moeller),1,1
1,0,2011-12,HB 1047,1047,,,,,2012-04-11,0,0,HB 1047,"By resolution, reintroduced and retained in present status.",0,H Pub Safety,0,0,2011-01-10,AN ACT Relating to code enforcement officers;,1,Concerning code enforcement officers.,House,5155,H-0063.2,0,0,0,0,Code enforcement officers,Bill,B,(Hunt),1,0
0,0,2011-12,HB 1048,1048,,,,,2011-03-03,0,0,HB 1048,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,"AN ACT Relating to making technical corrections needed as a result of the recodification of campaign finance provisions in chapter 204, Laws of 2010;",0,Making technical corrections needed as a result of the recodification of campaign finance provisions.,House,5155,H-0091.1,0,0,0,0,Campaign finance provisions,Bill,B,(Hunt),0,0
1,0,2011-12,SHB 1048,1048,,,,,2011-04-14,0,0,SHB 1048,"Effective Date is January 1, 2012",0,C 60 L 11,0,0,2011-01-17,"AN ACT Relating to making technical corrections needed as a result of the recodification of campaign finance provisions in chapter 204, Laws of 2010;",0,Making technical corrections needed as a result of the recodification of campaign finance provisions.,House,5155,H-0968.1,0,0,0,0,Campaign finance provisions,Bill,B,(Hunt),0,1
1,0,2011-12,HB 1049,1049,,,,,2012-04-11,0,0,HB 1049,"By resolution, reintroduced and retained in present status.",0,H Rules R,0,0,2011-01-10,AN ACT Relating to net metering of electricity;,0,Concerning net metering of electricity.,House,8211,H-0290.3,0,0,0,0,Net metering of electricity,Bill,B,(McCoy),1,0
1,0,2011-12,SHB 1049,1049,,,,,2012-04-11,0,0,SHB 1049,"By resolution, reintroduced and retained in present status.",0,H Rules R,0,0,2011-02-15,AN ACT Relating to net metering of electricity;,0,Concerning the net metering of electricity.,House,8211,H-1318.4,0,0,0,0,Net metering of electricity,Bill,B,(McCoy),0,1
1,0,2011-12,EHB 1050,1050,,,,,2012-04-11,0,1,EHB 1050,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,1,2011-01-10,AN ACT Relating to residential provisions for children of parents with military duties;,0,Regarding residential provisions for children of parents with military duties.,House,8211,H-0466.1,0,0,0,0,Children w/ military parents,Bill,B,(McCoy),0,0
0,0,2011-12,HB 1051,1051,,,,,2011-03-01,0,0,HB 1051,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to trusts and estates;,0,Amending trusts and estates statutes.,House,12002,Z-0074.5,0,0,0,1,Trusts and estates,Bill,B,(Pedersen),0,0
1,0,2011-12,SHB 1051,1051,,,,,2011-05-12,1,1,SHB 1051,Effective date 1/1/2012.,0,C 327 L 11,0,0,2011-01-20,AN ACT Relating to trusts and estates;,0,Amending trusts and estates statutes.,House,12002,H-0663.3,0,0,0,1,Trusts and estates,Bill,B,(Pedersen),0,1
1,0,2011-12,HB 1052,1052,,,,,2011-05-12,0,0,HB 1052,Effective date 7/22/2011.,0,C 328 L 11,0,0,2011-01-10,AN ACT Relating to the authority of shareholders and boards of directors to take certain actions under the corporation act;,0,Addressing the authority of shareholders and boards of directors to take certain actions under the corporation act.,House,12002,Z-0133.2,0,0,0,1,Shareholder & board actions,Bill,B,(Pedersen),0,0
0,0,2011-12,HB 1053,1053,,,,,2011-03-07,0,0,HB 1053,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to the implementation of recommendations from the Washington state bar association elder law section's executive committee report of the guardianship task force;,1,Implementing recommendations from the Washington state bar association elder law section's executive committee report of the guardianship task force.,House,8212,Z-0138.4,0,0,0,1,Guardianship task force,Bill,B,(Moeller),1,0
1,0,2011-12,SHB 1053,1053,,,,,2011-05-12,1,1,SHB 1053,Effective date 7/22/2011.,1,C 329 L 11,0,0,2011-01-27,AN ACT Relating to the implementation of recommendations from the Washington state bar association elder law section's executive committee report of the guardianship task force;,1,Implementing recommendations from the Washington state bar association elder law section's executive committee report of the guardianship task force.,House,8212,H-1254.1,0,0,0,1,Guardianship task force,Bill,B,(Moeller),1,1
1,0,2011-12,HB 1054,1054,,,,,2012-04-11,0,0,HB 1054,"By resolution, reintroduced and retained in present status.",0,H Ag & Nat Res,0,0,2011-01-10,AN ACT Relating to clarifying that water conservation practices are considered a beneficial use of water for purposes of relinquishment;,0,Declaring water conservation practices to be a beneficial use of water for the purposes of relinquishment.,House,3469,H-0083.2,0,0,0,0,Water conservation practices,Bill,B,(Chandler),1,0
